slot,reading,dialogue_uses,bigrams (count)
0x022b,唉,6,
0x022c,葛,8,葛雷(8)  的葛(1)  從葛(1)  和葛(1)  弟葛(1)  由葛(1)  在葛(1)
0x022e,接,7,接下(2)  直接(2)  接管(1)  恩接(1)  接蘭(1)  聯接(1)  接受(1)  要接(1)  接去(1)  接近(1)
0x022f,政,5,政權(2)  的政(2)  政愛(1)  勤政(1)  政呀(1)  德政(1)  為政(1)
0x0230,權,2,政權(2)  權後(1)
0x0232,惱,3,煩惱(3)  惱了(1)
0x0234,階,2,階下(2)  王階(1)  望階(1)
0x0235,勤,3,勤政(1)  位勤(1)  勤時(1)  執勤(1)  勤務(1)  近勤(1)
0x0237,賢,6,的賢(4)  賢者(3)  賢明(2)  賢君(1)  當賢(1)  分賢(1)
0x0238,君,1,賢君(1)
0x0239,榮,3,榮幸(1)  很榮(1)  榮華(1)  求榮(1)  繁榮(1)
0x023a,隨,11,隨便(5)  以隨(2)  要隨(2)  隨在(1)  跟隨(1)  隨魔(1)  將隨(1)  隨你(1)  想隨(1)  隨即(1)
0x023b,密,4,秘密(1)  密防(1)  嚴密(1)  密是(1)  祕密(1)  密樹(1)  茂密(1)
0x023c,蒼,1,蒼蠅(1)  隻蒼(1)
0x023d,蠅,1,蠅也(1)  蒼蠅(1)
0x0240,光,15,的光(3)  閃光(2)  光系(2)  光芒(2)  光靠(2)  但光(2)  光太(1)  光所(1)  殺光(1)  光從(1)
0x0242,擾,4,打擾(3)  擾我(2)  困擾(1)
0x0245,證,6,行證(5)  證進(2)  證兩(1)  保證(1)  證給(1)
0x0247,清,9,清楚(6)  不清(3)  清的(1)  被清(1)  清理(1)  物清(1)  問清(1)  很清(1)  也清(1)  清澈(1)
0x0248,乾,3,乾淨(2)  乾二(1)  一乾(1)  理乾(1)  愛乾(1)
0x0249,淨,4,乾淨(2)  二淨(1)  淨化(1)  能淨(1)
0x024a,終,18,終於(14)  你終(3)  橋終(2)  們終(2)  終年(2)  終究(1)  伙終(1)  終極(1)  的終(1)  是終(1)
0x024d,犧,7,犧牲(5)  犧性(2)  那犧(1)  也犧(1)  卻犧(1)  都犧(1)  家犧(1)  的犧(1)
0x024e,牲,5,犧牲(5)  牲了(4)  牲白(1)
0x024f,直,18,一直(13)  直沒(3)  直不(2)  直接(2)  直想(2)  簡直(2)  直是(2)  直在(2)  王直(1)  直到(1)
0x0250,肯,4,不肯(2)  肯離(1)  肯一(1)  子肯(1)  肯不(1)  你肯(1)  肯幫(1)
0x0251,另,5,另一(5)  從另(1)  的另(1)  湖另(1)  過另(1)
0x0253,准,7,不准(4)  准許(3)  有准(2)  准賣(2)  准進(2)  能准(1)
0x0254,照,4,照你(1)  照您(1)  依照(1)  照顧(1)  己照(1)  照當(1)  遵照(1)
0x0255,緊,6,趕緊(6)  緊去(2)  緊離(1)  緊派(1)  緊出(1)  緊回(1)
0x0256,影,5,影響(3)  到影(1)  人影(1)  會影(1)  影下(1)  陰影(1)  的影(1)
0x0257,材,11,材料(7)  的材(3)  身材(2)  材相(1)  材高(1)  木材(1)  是材(1)  此材(1)  材製(1)  建材(1)
0x0259,魁,1,魁武(1)  當魁(1)
0x025c,耽,1,耽心(1)  為耽(1)
0x025d,普,3,普通(3)  是普(1)  位普(1)
0x025f,右,4,右邊(1)  走右(1)  右側(1)  堡右(1)  右方(1)  最右(1)  右兩(1)  左右(1)
0x0260,左,4,左邊(1)  走左(1)  左側(1)  堡左(1)  左方(1)  陸左(1)  左右(1)  在左(1)
0x0262,輕,14,年輕(8)  輕人(5)  輕輕(2)  輕的(2)  輕易(2)  會輕(2)  不輕(1)  紀輕(1)  輕時(1)  輕盈(1)
0x0264,藥,9,藥草(5)  是藥(2)  的藥(2)  藥才(2)  成藥(2)  採藥(2)  亞藥(1)
0x0266,療,6,治療(6)  療我(4)  療您(2)
0x0267,酸,2,酸痛(2)  我酸(2)
0x0268,痛,2,痛的(2)  酸痛(2)
0x0269,二,7,二天(2)  二年(1)  二淨(1)  乾二(1)  二位(1)  這二(1)  二個(1)  要二(1)  二樣(1)  第二(1)
0x026b,窟,12,洞窟(12)  窟去(2)  窟就(2)  窟採(2)  窟看(1)  窟以(1)  窟有(1)  窟中(1)  窟找(1)
0x026d,獸,18,怪獸(18)  獸都(3)  獸牙(3)  獸的(2)  獸好(2)  獸嗎(1)  獸真(1)  獸出(1)  獸有(1)  獸吃(1)
0x026e,牙,15,牙齒(8)  牙王(7)  的牙(5)  目牙(4)  獸牙(3)  於牙(2)  比牙(1)
0x026f,齒,8,牙齒(8)  齒磨(2)  齒我(2)  齒吧(1)  齒在(1)  齒據(1)
0x0270,磨,2,磨成(2)  齒磨(2)
0x0271,粉,3,粉製(2)  成粉(2)  打粉(1)
0x0272,醫,3,醫治(2)  以醫(2)  醫術(1)  會醫(1)
0x0275,激,3,激了(1)  感激(1)  激增(1)  量激(1)  刺激(1)
0x0276,衝,6,衝突(2)  衝過(1)  物衝(1)  衝出(1)  人衝(1)  衝擊(1)  的衝(1)  起衝(1)  生衝(1)  衝力(1)
0x0277,閃,3,閃光(2)  個閃(1)  閃開(1)  快閃(1)  陣閃(1)
0x0278,咦,4,
0x0279,聲,6,吼聲(2)  聲鼓(1)  掌聲(1)  我聲(1)  叫聲(1)  聲才(1)  吞聲(1)
0x027a,2,2,20(2)  次2(1)
0x027b,5,5,50(5)  15(2)  35(1)  45(1)
0x0280,明,17,明的(5)  明家(5)  發明(5)  聰明(3)  明白(2)  我明(2)  賢明(2)  明明(2)  明是(2)  神明(1)
0x0283,數,7,數量(3)  的數(2)  少數(2)  物數(1)  數倍(1)  光數(1)  數人(1)  數的(1)  數萬(1)  用數(1)
0x0289,冰,13,冰戰(9)  破冰(9)  冰原(4)  的冰(2)  這冰(1)  過冰(1)
0x028a,爆,2,爆炸(1)  陣爆(1)  爆破(1)  在爆(1)
0x0290,裂,18,裂縫(16)  個裂(4)  的裂(3)  到裂(2)  裂的(2)  分裂(2)  說裂(2)  去裂(1)  入裂(1)  從裂(1)
0x0292,弓,18,巨弓(14)  弓我(2)  把弓(1)  弓箭(1)  般弓(1)  弓只(1)  弓做(1)  弓以(1)  弓這(1)  弓的(1)
0x0293,姓,2,冠姓(1)  姓名(1)  及姓(1)
0x0294,名,11,名字(4)  的名(4)  大名(2)  有名(1)  名在(1)  名應(1)  本名(1)  名子(1)  姓名(1)  威名(1)
0x0295,齡,2,年齡(2)  齡1(1)  齡的(1)
0x0297,金,4,金的(1)  為金(1)  金髮(1)  位金(1)  獎金(1)  金色(1)  到金(1)
0x0298,錢,20,錢不(7)  的錢(7)  價錢(3)  些錢(3)  值錢(3)  錢的(2)  有錢(1)  錢用(1)  錢你(1)  錢也(1)
0x029a,劍,16,劍士(6)  的劍(4)  劍法(3)  一劍(2)  是劍(2)  你劍(2)  長劍(1)  露劍(1)  著劍(1)  劍都(1)
0x029c,刀,2,刀槍(1)  鬼刀(1)  刀當(1)  把刀(1)
0x029e,首,6,禍首(2)  首都(1)  了首(1)  首嗎(1)  首德(1)  之首(1)  首飾(1)  首要(1)  成首(1)
0x029f,短,2,短短(2)  在短(1)  短的(1)
0x02a0,槍,1,槍不(1)  刀槍(1)
0x02a1,拳,3,練拳(3)  拳了(1)
0x02a2,套,1,圈套(1)
0x02a3,杖,2,杖可(1)  字杖(1)  杖進(1)  把杖(1)
0x02a8,晶,2,晶項(2)  水晶(2)
0x02ac,容,5,容易(3)  容我(2)  天容(1)  內容(1)  否容(1)  不容(1)  件容(1)
0x02ad,易,7,容易(3)  輕易(2)  易使(1)  易放(1)  易近(1)  平易(1)  交易(1)  易得(1)  易的(1)  易答(1)
0x02ae,引,8,引導(3)  引發(2)  引起(2)  引我(1)  吸引(1)  個引(1)  到引(1)  出引(1)  前引(1)  寒引(1)
0x02b0,志,2,志力(1)  意志(1)  志開(1)  鬥志(1)
0x02b3,電,2,電視(1)  最電(1)  電腦(1)  的電(1)
0x02b4,予,1,予人(1)  給予(1)
0x02b5,刺,1,刺激(1)  很刺(1)
0x02b6,極,9,極大(4)  極收(1)  預極(1)  來極(1)  他極(1)  極絕(1)  終極(1)  極光(1)  滅極(1)  有極(1)
0x02b7,穿,8,穿過(3)  穿越(3)  要穿(2)  穿梭(1)  穿紅(1)  身穿(1)  須穿(1)
0x02b8,透,3,透過(3)  要透(1)  力透(1)
0x02b9,屬,11,屬於(7)  是屬(6)  就屬(3)  屬這(1)  屬下(1)  屬我(1)  屬尼(1)
0x02ba,破,19,破冰(9)  破壞(7)  被破(2)  乘破(2)  從破(1)  種破(1)  念破(1)  遭破(1)  破的(1)  爆破(1)
0x02bb,壞,8,破壞(7)  壞的(1)  壞和(1)  壞殆(1)  壞封(1)  壞時(1)  壞蛋(1)  大壞(1)  壞龐(1)
0x02bd,羅,3,羅蘭(3)  到羅(1)  是羅(1)
0x02c2,空,17,空地(3)  時空(3)  空中(3)  有空(2)  天空(2)  空間(2)  於空(2)  空歡(1)  我空(1)  邊空(1)
0x02c3,鷹,2,鷹的(2)  老鷹(1)  翼鷹(1)
0x02c4,雙,1,雙人(1)
0x02c5,咒,5,咒文(3)  的咒(2)  精咒(1)  炎咒(1)  痺咒(1)
0x02c6,文,4,咒文(3)  文很(1)  文森(1)  是文(1)
0x02c7,跑,12,跑出(3)  會跑(2)  要跑(2)  跑到(2)  又跑(1)  跑來(1)  山跑(1)  人跑(1)  跑一(1)  白跑(1)
0x02c8,撤,2,撤離(1)  都撤(1)  撤退(1)  好撤(1)
0x02c9,退,4,退後(1)  快退(1)  退路(1)  的退(1)  撤退(1)  退了(1)  水退(1)
0x02ca,精,13,精神(11)  的精(4)  作精(1)  究精(1)  精咒(1)  妖精(1)  想精(1)  而精(1)  將精(1)  具精(1)
0x02cc,代,6,交代(2)  代的(1)  代國(1)  前代(1)  代書(1)  古代(1)  代替(1)  我代(1)  代過(1)  代表(1)
0x02cd,驚,1,驚訝(1)  好驚(1)
0x02ce,斬,3,卷斬(3)  斬的(1)
0x02cf,靈,5,靈魂(3)  的靈(2)  我靈(1)  靈氣(1)  精靈(1)
0x02d2,七,18,七年(14)  十七(14)  七個(3)  七棵(1)  有七(1)  做七(1)  於七(1)
0x02d3,星,9,芒星(4)  星水(2)  星期(1)  每星(1)  星也(1)  救星(1)  星封(1)  條星(1)  星多(1)  繁星(1)
0x02d4,吸,2,吸引(1)  太吸(1)  吸收(1)  已吸(1)
0x02d6,月,5,個月(4)  月前(1)  月份(1)  六月(1)  月後(1)  月要(1)
0x02d7,勇,7,勇者(4)  的勇(3)  勇猛(2)  還勇(2)  是勇(1)  些勇(1)  勇氣(1)
0x02d8,封,20,封印(13)  封閉(2)  封信(2)  這封(2)  念封(2)  除封(2)  令封(1)  經封(1)  是封(1)  要封(1)
0x02d9,獄,1,獄無(1)  地獄(1)
0x02da,夢,1,夢到(1)  常夢(1)
0x02db,幻,2,幻的(1)  奇幻(1)  幻滅(1)  叫幻(1)
0x02dd,滅,18,消滅(10)  滅了(5)  毀滅(3)  滅得(1)  才滅(1)  滅萬(1)  被滅(1)  滅不(1)  滅掉(1)  滅毀(1)
0x02de,陽,1,陽光(1)
0x02e0,字,5,名字(4)  字嗎(1)  字杖(1)  十字(1)  字是(1)
0x02e1,霸,2,霸道(2)  蠻霸(1)  又霸(1)
0x02e2,盔,1,盔甲(1)  的盔(1)
0x02e4,飾,1,首飾(1)
0x02e5,皮,1,皮的(1)  有皮(1)
0x02e7,冠,1,冠姓(1)  的冠(1)
0x02eb,司,1,司祭(1)
0x02ec,祭,1,司祭(1)
0x02ee,甲,1,甲好(1)  盔甲(1)
0x02ef,衣,4,衣服(3)  的衣(3)  稼衣(1)
0x02f0,背,2,背上(1)  你背(1)  背了(1)  經背(1)
0x02f1,絲,1,絲質(1)
0x02f2,羽,2,羽毛(2)  的羽(2)
0x02f4,胸,1,胸狹(1)  心胸(1)
0x02f5,炎,6,炎鬼(3)  炎熱(1)  得炎(1)  炎咒(1)  火炎(1)  做炎(1)  叫炎(1)  個炎(1)  聖炎(1)
0x02f6,寒,4,寒冷(3)  於寒(1)  較寒(1)  當寒(1)  寒引(1)  石寒(1)
0x02f7,夫,1,夫的(1)  農夫(1)
0x02f8,妖,2,妖精(1)  樹妖(1)  妖怪(1)  的妖(1)
0x02fb,護,10,保護(6)  守護(3)  護神(2)  護聖(2)  護教(1)  維護(1)  護更(1)  護國(1)  護龐(1)  護各(1)
0x0300,藍,2,藍色(2)  是藍(1)  深藍(1)
0x0302,英,3,英雄(2)  英俊(1)  又英(1)  是英(1)
0x0303,雄,3,英雄(2)  雄偉(1)  當雄(1)  雄戰(1)
0x0304,印,15,封印(13)  印的(4)  腳印(2)  印邪(1)  印並(1)  印我(1)  印不(1)
0x0309,箭,1,弓箭(1)
0x030b,比,17,比較(8)  也比(2)  就比(2)  比頭(2)  說比(2)  村比(1)  去比(1)  比蘭(1)  候比(1)  比牙(1)
0x030c,陣,18,陣子(14)  前陣(9)  一陣(7)  陣爆(1)  了陣(1)  陣閃(1)  陣亡(1)  中陣(1)  陣了(1)
0x0311,洛,1,洛爾(1)
0x0312,拉,11,拉賽(10)  我拉(3)  拉爾(1)  傑拉(1)  來拉(1)  是拉(1)  在拉(1)  有拉(1)  於拉(1)
0x0313,亂,7,別亂(4)  亂說(2)  混亂(2)  亂買(1)  這亂(1)  亂跑(1)  亂走(1)
0x0314,猛,4,兇猛(2)  勇猛(2)  猛了(1)
0x0316,超,7,超強(2)  是超(2)  超過(2)  了超(1)  超越(1)  超毀(1)  經超(1)  於超(1)
0x0318,迴,1,迴力(1)  做迴(1)
0x031a,卷,3,卷斬(3)  龍卷(3)
0x031b,聚,1,聚合(1)  一聚(1)
0x0320,至,7,至今(2)  至於(2)  至少(2)  至王(1)  通至(1)  是至(1)  們至(1)
0x0321,單,5,簡單(3)  單人(1)  是單(1)  單呀(1)  單的(1)  單說(1)  床單(1)
0x0322,敵,1,敵的(1)  無敵(1)
0x0327,脫,1,脫不(1)  絕脫(1)
0x0329,冷,6,寒冷(3)  冷了(2)  太冷(2)  冷潮(1)  冷點(1)  氣冷(1)
0x032e,環,2,環境(2)  的環(1)
0x0330,麻,13,麻煩(12)  麼麻(2)  上麻(1)  想麻(1)  話麻(1)  是麻(1)  要麻(1)  就麻(1)  行麻(1)  以麻(1)
0x0331,痺,1,痺咒(1)  麻痺(1)
0x0332,轉,6,轉換(3)  的轉(1)  轉化(1)  空轉(1)  轉讓(1)  鍊轉(1)  轉告(1)  你轉(1)
0x0333,戒,3,戒備(2)  城戒(1)  面戒(1)  戒狀(1)  警戒(1)
0x0337,反,6,反正(2)  反常(2)  分反(1)  越反(1)  反抗(1)  們反(1)  造反(1)
0x0339,絕,5,絕招(2)  絕不(2)  用絕(1)  絕脫(1)  以絕(1)  性絕(1)  我絕(1)  極絕(1)
0x033b,良,3,善良(3)  良的(1)
0x033c,虛,2,虛而(1)  乘虛(1)  虛弱(1)  麼虛(1)
0x033d,弱,4,弱殘(1)  老弱(1)  弱有(1)  減弱(1)  弱的(1)  虛弱(1)  弱不(1)  強弱(1)
0x033e,支,4,支持(2)  的支(2)  支援(1)  力支(1)  支的(1)  不支(1)
0x033f,領,5,領導(2)  的領(2)  領的(1)  率領(1)  王領(1)  領我(1)  帶領(1)  領地(1)
0x0340,員,7,店員(3)  員體(2)  全員(2)  員都(1)  人員(1)  員這(1)  船員(1)
0x0341,徹,1,徹底(1)  很徹(1)
0x0342,失,6,消失(3)  失了(2)  失敗(2)  喪失(1)  失在(1)  失於(1)  劃失(1)
0x0343,敗,7,打敗(2)  失敗(2)  敗的(1)  擊敗(1)  敗後(1)  戰敗(1)  所敗(1)  敗過(1)
0x0344,增,14,增加(7)  增多(4)  漸增(3)  然增(2)  物增(2)  增強(2)  兵增(1)  力增(1)  於增(1)  激增(1)
0x0345,降,4,降服(2)  降臨(1)  神降(1)  降於(1)  歸降(1)  意降(1)
0x0347,暫,4,暫時(3)  已暫(1)  我暫(1)  在暫(1)  暫且(1)
0x0348,逛,9,逛逛(6)  處逛(4)  逛一(1)  一逛(1)  逛吧(1)  內逛(1)
0x0349,姊,8,姊姊(8)  亮姊(1)  位姊(1)  姊叫(1)  跟姊(1)  姊說(1)
0x034d,般,7,一般(6)  般的(3)  般人(1)  弟般(1)  般漁(1)  般弓(1)
0x034e,貴,4,貴重(2)  當貴(1)  麼貴(1)  貴賤(1)  分貴(1)  富貴(1)
0x034f,平,20,和平(5)  平日(3)  平凡(3)  你平(2)  平安(2)  平了(2)  平常(2)  公平(2)  長平(1)  平而(1)
0x0350,日,16,的日(4)  平日(3)  日子(3)  日好(2)  日漸(2)  一日(2)  日就(1)  日可(1)  指日(1)  日出(1)
0x0352,報,17,情報(5)  報答(4)  報告(4)  報仇(4)  報販(3)  王報(2)  好報(2)  我報(2)  麼報(1)  了報(1)
0x0354,危,14,危險(14)  很危(7)  越危(1)  太危(1)  更危(1)  有危(1)  然危(1)  近危(1)  常危(1)
0x0356,擔,9,擔心(7)  用擔(2)  我擔(2)  他擔(2)  好擔(1)  負擔(1)  擔壓(1)  重擔(1)
0x0357,放,12,放入(4)  放心(2)  放在(2)  放過(2)  就放(1)  鐲放(1)  易放(1)  別放(1)  放時(1)  開放(1)
0x0358,躲,2,躲迷(1)  玩躲(1)  躲在(1)  歡躲(1)
0x0359,藏,8,藏了(2)  藏好(1)  迷藏(1)  藏書(1)  的藏(1)  說藏(1)  藏有(1)  中藏(1)  宮藏(1)  藏著(1)
0x035a,訝,1,訝的(1)  驚訝(1)
0x035b,史,5,歷史(3)  神史(2)  史課(1)  史的(1)  史實(1)  史可(1)
0x035c,課,2,課本(1)  史課(1)  課重(1)  民課(1)
0x035d,哼,3,
0x035e,弟,16,弟弟(10)  小弟(5)  弟你(3)  兄弟(2)  的弟(2)  和弟(1)  弟去(1)  個弟(1)  弟葛(1)  弟般(1)
0x035f,耶,1,道耶(1)
0x0360,休,18,休息(18)  來休(2)  方休(1)  我休(1)  和休(1)  這休(1)  好休(1)  先休(1)  備休(1)
0x0363,館,3,旅館(3)  館來(1)  館的(1)
0x0364,哪,2,哪交(1)  到哪(1)  哪裡(1)  去哪(1)
0x0365,笑,5,笑了(2)  玩笑(2)  好笑(2)  說笑(1)  笑的(1)  笑喔(1)
0x0366,誇,2,的誇(2)  誇獎(1)  誇張(1)
0x0367,獎,2,誇獎(1)  獎金(1)  的獎(1)
0x0368,悶,2,悶悶(2)  在悶(1)  悶不(1)
0x0369,恢,5,恢復(5)  又恢(2)  力恢(2)  全恢(1)
0x036a,週,1,週到(1)  真週(1)
0x036b,歷,3,歷史(3)  的歷(3)
0x036c,祕,6,祕道(4)  個祕(3)  祕了(1)  神祕(1)  祕密(1)  走祕(1)  條祕(1)
0x036d,惜,9,可惜(8)  惜的(2)  惜了(2)  惜把(1)  不惜(1)  惜天(1)  惜呀(1)  惜沒(1)  惜他(1)
0x036e,整,16,整個(7)  重整(4)  整理(2)  整安(2)  完整(1)  毀整(1)  料整(1)  要整(1)  整王(1)  果整(1)
0x036f,懂,5,不懂(4)  懂嗎(1)  的懂(1)  懂為(1)  懂我(1)
0x0372,朋,3,朋友(3)  我朋(1)  找朋(1)
0x0373,友,4,朋友(3)  友在(1)  好友(1)
0x0375,店,13,器店(8)  店員(3)  店有(2)  店補(1)  商店(1)  店看(1)  店老(1)  店最(1)  本店(1)  店不(1)
0x0376,掃,3,打掃(2)  掃的(1)  掃就(1)  掃興(1)  是掃(1)
0x0377,忘,3,忘了(2)  會忘(2)  心忘(1)  忘記(1)
0x0378,算,15,算了(5)  打算(5)  算你(2)  總算(2)  那算(1)  鬼算(1)  就算(1)  算把(1)  算皇(1)  算給(1)
0x0379,鬼,13,小鬼(9)  炎鬼(3)  鬼和(1)  鬼不(1)  鬼算(1)  鬼別(1)  鬼現(1)  鬼的(1)  鬼是(1)  鬼刀(1)
0x037a,洩,2,洩露(2)  就洩(1)  會洩(1)
0x037b,露,3,洩露(2)  露軍(1)  露什(1)  露劍(1)  展露(1)
0x037c,躍,2,躍起(2)  活躍(2)
0x037d,挖,4,在挖(2)  挖的(1)  挖掘(1)  得挖(1)  挖疏(1)  挖了(1)  別挖(1)
0x037e,喪,8,喪生(5)  都喪(2)  沮喪(1)  也喪(1)  人喪(1)  中喪(1)  喪的(1)  垂喪(1)  喪失(1)  我喪(1)
0x037f,腦,4,煩腦(2)  腦起(1)  腦的(1)  腦遊(1)  電腦(1)  腦子(1)  滿腦(1)
0x0381,駐,1,駐軍(1)  的駐(1)
0x0382,範,1,範知(1)  防範(1)
0x0383,遵,3,遵命(2)  遵照(1)  會遵(1)
0x0384,學,7,學習(3)  要學(2)  學過(1)  是學(1)  這學(1)  學問(1)  有學(1)  則學(1)  學的(1)  理學(1)
0x0385,換,7,轉換(3)  換了(1)  村換(1)  換職(1)  交換(1)  換尿(1)  去換(1)  換做(1)  換成(1)  換的(1)
0x0386,主,11,主要(5)  主動(4)  會主(3)  主人(2)  家主(1)  師主(1)  實主(1)  始主(1)  有主(1)
0x0387,型,8,型的(3)  體型(2)  型也(1)  型逐(1)  擊型(1)  復型(1)  型由(1)  濕型(1)  型氣(1)  漠型(1)
0x0388,勁,1,對勁(1)
0x0389,向,15,向國(3)  方向(2)  向外(2)  向我(2)  一向(2)  以向(1)  向過(1)  城向(1)  都向(1)  敢向(1)
0x038a,件,11,件事(5)  這件(4)  一件(3)  是件(2)  件好(1)  件相(1)  件重(1)  件非(1)  那件(1)  條件(1)
0x038b,派,6,派人(3)  派你(1)  王派(1)  也派(1)  緊派(1)  刻派(1)  派庫(1)  推派(1)  派到(1)  被派(1)
0x038c,奉,4,奉馬(2)  奉侍(1)  我奉(1)  奉國(1)
0x038d,期,4,期會(1)  星期(1)  期間(1)  段期(1)  期旅(1)  定期(1)  期待(1)  也期(1)
0x038e,固,3,固定(1)  會固(1)  牢固(1)  固自(1)  鞏固(1)
0x038f,表,4,表現(2)  表達(1)  以表(1)  會表(1)  的表(1)  表艾(1)  代表(1)
0x0390,尊,2,尊敬(1)  的尊(1)  尊稱(1)  被尊(1)
0x0391,敬,1,尊敬(1)
0x0392,僅,1,僅武(1)  不僅(1)
0x0393,忠,8,效忠(4)  忠心(3)  很忠(3)  忠艾(2)  忠於(2)  忠誡(1)  的忠(1)
0x0395,願,7,願意(4)  你願(2)  願不(2)  不願(2)  願望(1)  現願(1)  們願(1)  我願(1)
0x0396,堂,3,堂內(2)  教堂(2)  堂有(1)  天堂(1)
0x0397,持,6,維持(3)  支持(2)  持應(1)  保持(1)  持蘭(1)  持奧(1)  持一(1)
0x0399,靜,2,安靜(2)
0x039a,負,11,負責(5)  負起(3)  需負(3)  是負(2)  們負(1)  負若(1)  不負(1)  欺負(1)  負擔(1)  的負(1)
0x039b,責,11,負責(5)  責任(3)  的責(2)  責維(1)  責了(1)  自責(1)  責備(1)  王責(1)  責輪(1)  個責(1)
0x039c,維,6,維持(3)  維護(1)  責維(1)  好維(1)  維生(1)  海維(1)  了維(1)  維得(1)  爾維(1)
0x039d,父,12,父親(5)  神父(3)  父王(3)  我父(2)  的父(1)  父和(1)  先父(1)  你父(1)  和父(1)
0x039e,沮,1,沮喪(1)  情沮(1)
0x039f,侃,5,爾侃(5)  侃國(4)  侃王(1)
0x03a1,兄,2,兄弟(2)  親兄(1)  位兄(1)
0x03a2,計,5,計劃(4)  的計(3)  計策(1)  量計(1)  車計(1)
0x03a3,劃,4,計劃(4)  劃才(1)  劃可(1)  劃是(1)  劃失(1)
0x03a4,尤,5,尤其(5)
0x03a5,兇,3,兇猛(2)  別兇(1)  很兇(1)  太兇(1)
0x03a6,若,5,若要(2)  若不(1)  是若(1)  這若(1)  若心(1)  負若(1)  若說(1)
0x03a7,蓋,6,蓋的(2)  蓋好(2)  於蓋(2)  蓋這(1)  始蓋(1)  臭蓋(1)  城蓋(1)  蓋造(1)  村蓋(1)
0x03a8,提,15,提供(7)  法提(2)  提的(2)  你提(2)  為提(1)  裡提(1)  可提(1)  提醒(1)  提示(1)  些提(1)
0x03a9,供,9,提供(7)  供你(3)  供住(2)  供應(2)  供石(1)  源供(1)  城供(1)  供外(1)
0x03aa,掘,1,掘石(1)  挖掘(1)
0x03ab,響,3,影響(3)  響到(1)
0x03ac,壯,2,壯男(1)  少壯(1)  壯的(1)  高壯(1)
0x03ad,須,16,必須(16)  須靠(3)  須要(2)  須在(1)  須進(1)  須通(1)  須回(1)  須繞(1)  須乘(1)  須先(1)
0x03ae,宿,13,住宿(12)  宿一(4)  宿嗎(2)  宿和(1)  宿屋(1)  本宿(1)
0x03b0,檯,1,檯購(1)  櫃檯(1)
0x03b1,購,6,購買(3)  收購(3)  法購(2)  購奇(2)  檯購(1)
0x03b3,千,2,千萬(1)  千斤(1)  有千(1)
0x03b4,萬,5,萬元(2)  一萬(2)  萬不(1)  千萬(1)  萬惡(1)  滅萬(1)  萬隻(1)  數萬(1)
0x03b6,冒,6,冒險(5)  道冒(1)  是冒(1)  的冒(1)  起冒(1)  得冒(1)  冒昧(1)  很冒(1)
0x03b7,盡,11,盡的(3)  盡有(2)  有盡(2)  止盡(2)  盡力(2)  無盡(1)  賤盡(1)  盡了(1)  自盡(1)  盡可(1)
0x03b8,床,7,的床(5)  床可(3)  在床(2)  床上(1)  床旁(1)  床墊(1)  床單(1)
0x03b9,適,5,適合(3)  適的(2)  舒適(2)  部適(1)  很適(1)  不適(1)
0x03ba,夜,16,一夜(13)  夜只(3)  夜竹(3)  夜1(2)  夜九(1)  夜三(1)  夜四(1)  用夜(1)  這夜(1)  於夜(1)
0x03bb,元,20,0元(10)  十元(4)  萬元(2)  元賣(1)  元才(1)  五元(1)  百元(1)  元的(1)  次元(1)  元高(1)
0x03bc,抱,11,抱歉(10)  很抱(3)  抱怨(1)  好抱(1)
0x03bd,歉,10,抱歉(10)  歉我(1)  歉了(1)
0x03be,夠,10,不夠(9)  夠的(2)  夠了(1)  就夠(1)
0x03bf,品,8,物品(6)  品不(1)  品丟(1)  品的(1)  品都(1)  用品(1)  成品(1)
0x03c0,丟,3,丟棄(2)  品丟(1)  可丟(1)  丟石(1)  們丟(1)
0x03c1,棄,3,丟棄(2)  棄重(1)  放棄(1)
0x03c2,袋,1,袋已(1)  具袋(1)
0x03c3,塵,4,塵歸(1)  歸塵(1)  灰塵(1)  塵土(1)
0x03c4,土,7,土歸(1)  歸土(1)  土兵(1)  土質(1)  方土(1)  土飛(1)  塵土(1)  土見(1)  們土(1)  土及(1)
0x03c5,讓,20,讓我(9)  請讓(3)  會讓(3)  讓你(3)  別讓(2)  不讓(2)  讓他(1)  讓一(1)  你讓(1)  讓開(1)
0x03c6,埋,2,埋起(1)  他埋(1)  活埋(1)
0x03c9,拯,2,拯救(2)  來拯(1)  要拯(1)
0x03ca,油,4,加油(4)  油吧(2)  油了(2)
0x03cb,祝,4,祝福(2)  們祝(2)  祝你(2)  就祝(1)
0x03cc,福,4,祝福(2)  福的(2)  幸福(1)  豔福(1)
0x03cd,妥,3,備妥(2)  妥了(1)  辦妥(1)
0x03ce,較,12,比較(8)  較好(3)  較大(2)  力較(1)  出較(1)  較小(1)  較寒(1)  較安(1)  較高(1)  顆較(1)
0x03cf,島,5,海島(2)  島上(1)  奧島(1)  島呀(1)  的島(1)  島外(1)  個島(1)
0x03d0,熱,6,熱鬧(1)  最熱(1)  炎熱(1)  熱氣(1)  的熱(1)  熱的(1)  高熱(1)  熱心(1)  很熱(1)  好熱(1)
0x03d1,鬧,1,鬧了(1)  熱鬧(1)
0x03d2,狹,3,狹谷(2)  條狹(1)  過狹(1)  狹窄(1)  胸狹(1)
0x03d3,谷,7,峽谷(4)  谷山(3)  狹谷(2)  谷已(2)  谷出(1)  谷通(1)  山谷(1)
